ENEL.MI;DOW_JONES;NASDAQ;NIKKEI225
5.289903;23563.35938;6789.120117;22913.82031
5.255585;23461.93945;6750.049805;22868.71094
5.231071;23422.21094;6750.939941;22681.41992
5.17224;23439.69922;6757.600098;22380.99023
5.15263;23409.4707;6737.870117;22380.00977
5.17224;23271.2793;6706.209961;22028.32031
5.162435;23458.35938;6793.290039;22351.11914
5.191851;23358.24023;6782.790039;22396.80078
5.113409;23430.33008;6790.709961;22261.75977
5.123214;23590.83008;6862.47998;22416.48047
5.255585;23526.17969;6867.359863;22523.15039
5.206558;23557.99023;6889.160156;22523.15039
5.285;23580.7793;6878.52002;22550.84961
5.250682;23836.71094;6912.359863;22495.99023
5.221266;23940.67969;6824.390137;22486.24023
5.299708;24272.34961;6873.970215;22597.19922
5.368344;24231.58984;6847.589844;22724.96094
5.348733;24290.05078;6775.370117;22819.0293
5.265389;24180.64063;6762.209961;22707.16016
5.363441;24140.91016;6776.379883;22622.38086
5.41737;24211.48047;6812.839844;22177.03906
5.41737;24329.16016;6840.080078;22498.0293
5.441883;24386.0293;6875.080078;22811.08008
5.471299;24504.80078;6862.319824;22938.73047
5.402663;24585.42969;6875.799805;22866.16992
5.402663;24508.66016;6856.529785;22758.07031
5.319318;24651.74023;6936.580078;22694.44922
5.231071;24792.19922;6994.759766;22553.2207
5.250682;24754.75;6963.850098;22901.76953
5.353636;24726.65039;6960.959961;22868
5.211461;24782.28906;6965.359863;22891.7207
5.17224;24754.06055;6959.959961;22866.09961
5.186948;24746.21094;6936.25;22902.75977
5.182045;24774.30078;6939.339844;22939.17969
5.137922;24837.50977;6950.160156;22892.68945
5.088896;24719.2207;6903.390137;22911.21094
5.030065;24824.00977;7006.899902;22783.98047
5.005552;24922.67969;7065.529785;22764.93945
4.981039;25075.13086;7077.910156;22764.93945
5.137922;25295.86914;7136.560059;22764.93945
5.235974;25283;7157.390137;22764.93945
5.221266;25385.80078;7163.580078;23506.33008
5.221266;25369.13086;7153.569824;23714.5293
5.123214;25574.73047;7211.779785;23714.5293
5.118311;25803.18945;7261.060059;23849.99023
5.142825;25792.85938;7223.689941;23788.19922
5.196754;26115.65039;7298.279785;23710.42969
5.265389;26017.81055;7296.049805;23653.82031
5.280097;26071.7207;7336.379883;23714.88086
5.250682;26214.59961;7408.029785;23951.81055
5.285;26210.81055;7460.290039;23868.33984
5.265;26252.11914;7415.060059;23763.36914
5.24;26392.78906;7411.160156;23808.06055
5.18;26616.71094;7505.77002;23816.33008
5.16;26439.48047;7466.509766;24124.15039
5.18;26076.89063;7402.47998;23940.7793
5.124;26149.39063;7411.47998;23669.49023
5.068;26186.71094;7385.859863;23631.88086
5.11;25520.96094;7240.950195;23629.33984
5.066;24345.75;6967.529785;23291.9707
4.97;24912.76953;7115.879883;23098.28906
4.909;24893.34961;7051.97998;23486.10938
4.769;23860.46094;6777.160156;23274.5293
4.874;24190.90039;6874.490234;22682.08008
4.722;24601.26953;6981.959961;21610.24023
4.634;24640.44922;7013.509766;21645.36914
4.688;24893.49023;7143.620117;21890.85938
4.654;25200.36914;7256.430176;21382.61914
4.78;25219.38086;7239.470215;21382.61914
4.792;24964.75;7234.310059;21244.67969
4.86;24797.7793;7218.22998;21154.16992
4.778;24962.48047;7210.089844;21464.98047
4.77;25309.99023;7337.390137;21720.25
4.7;25709.26953;7421.459961;22149.21094
4.722;25410.0293;7330.350098;21925.09961
4.835;25029.19922;7273.009766;21970.81055
4.826;24608.98047;7180.560059;21736.43945
4.837;24538.06055;7257.870117;21892.7793
4.779;24874.75977;7330.709961;22153.63086
4.762;24884.11914;7372.009766;22389.85938
4.657;24801.35938;7396.649902;22068.24023
4.701;24895.21094;7427.950195;21724.4707
4.729;25335.74023;7560.810059;21181.64063
4.777;25178.60938;7588.319824;21042.08984
4.84;25007.0293;7511.009766;21417.75977
4.836;24758.11914;7496.810059;21252.7207
4.833;24873.66016;7481.740234;21368.07031
4.87;24946.50977;7481.990234;21469.19922
4.85;24610.91016;7344.240234;21824.0293
4.884;24727.26953;7364.299805;21968.09961
4.93;24682.31055;7345.290039;21777.28906
4.85;23957.89063;7166.680176;21803.94922
4.876;23533.19922;6992.669922;21676.50977
4.874;24202.59961;7220.540039;21480.90039
4.796;23857.71094;7008.810059;21380.9707
4.851;23848.41992;6949.22998;21380.9707
4.786;24103.10938;7063.450195;21591.99023
4.797;23644.18945;6870.120117;20617.85938
4.975;24033.35938;6941.279785;20766.09961
4.97;24264.30078;7042.109863;21317.32031
4.955;24505.2207;7076.549805;21031.31055
4.963;23932.75977;6915.109863;21159.08008
5.05;23979.09961;6950.339844;21454.30078
5.046;24408;7094.299805;21388.58008
5.084;24189.44922;7069.029785;21292.28906
5.076;24483.05078;7140.25;21319.55078
5.062;24360.14063;7106.649902;21645.41992
5.112;24573.03906;7156.279785;21567.51953
5.114;24786.63086;7281.100098;21678.25977
5.084;24748.07031;7295.240234;21794.32031
5.16;24664.89063;7238.060059;21687.09961
5.196;24462.93945;7146.129883;21660.2793
5.192;24448.68945;7128.600098;21778.74023
5.17;24024.13086;7007.350098;21835.5293
5.202;24083.83008;7003.740234;21847.58984
5.184;24322.33984;7118.680176;22158.19922
5.196;24311.18945;7119.799805;22191.17969
5.26;24483.49023;7168.233887;22162.24023
5.25;24483.49023;7106.649902;22088.03906
5.228;24483.49023;7156.279785;22278.11914
